name,slug,region,alcohol_consumption_per_capita,birth_rate,children_under_the_age_of_5_years_underweight,death_rate,education_expenditures,infant_mortality_rate,life_expectancy_at_birth,maternal_mortality_ratio,median_age,net_migration_rate,obesity_adult_prevalence_rate,population_total,population_growth_rate,tobacco_use,total_fertility_rate
Armenia,armenia,Middle East,3.77,10.5,2.6,9.6,2.8,11.6,76.7,27,38.9,-5.2,20.2,2976765,-0.42,25.5,1.65
Kazakhstan,kazakhstan,Central Asia,3.73,17.2,2.0,8.1,4.5,8.0,73.3,13,31.9,-0.4,21.0,20260006,0.86,23.2,2.58
Nicaragua,nicaragua,Central America and the Caribbean,3.69,16.4,,5.1,4.6,14.4,74.7,78,29.0,-1.8,23.7,6676948,0.95,,1.83
"Korea, North",korea-north,East and Southeast Asia,3.61,13.2,9.3,9.2,,15.4,73.5,107,35.9,0.0,6.8,26298666,0.4,17.4,1.81
Lesotho,lesotho,Africa,3.56,22.9,10.5,10.8,8.7,45.7,60.2,566,23.9,-4.5,16.6,2227548,0.76,24.3,2.85
Jamaica,jamaica,Central America and the Caribbean,3.46,15.6,2.5,7.5,6.0,10.7,76.3,99,30.9,-7.1,24.7,2823713,0.1,9.4,2.05
Vietnam,vietnam,East and Southeast Asia,3.41,14.9,11.6,5.8,4.1,14.1,76.1,124,33.1,-0.2,2.1,105758975,0.89,24.8,2.03
Mauritius,mauritius,Africa,3.39,9.8,,9.0,4.9,11.6,75.4,84,39.6,0.0,10.8,1310504,0.07,20.2,1.36
Sierra Leone,sierra-leone,Africa,3.22,30.8,12.0,9.0,9.1,71.2,59.4,443,19.4,1.4,8.7,9121049,2.32,13.5,3.61
Guinea-Bissau,guinea-bissau,Africa,3.21,36.0,18.8,7.2,2.7,46.4,64.5,725,18.4,-3.5,9.5,2132325,2.54,9.0,4.62
Liberia,liberia,Africa,3.12,32.4,10.9,8.3,2.7,55.7,61.6,652,19.9,-0.8,9.9,5437249,2.32,8.2,3.93
Zimbabwe,zimbabwe,Africa,3.11,28.8,9.7,6.5,3.9,33.4,67.2,357,21.2,-3.2,15.5,17150352,1.91,11.7,3.47
India,india,South Asia,3.09,16.2,31.5,9.1,4.5,30.4,68.2,103,29.8,0.1,3.9,1409128296,0.72,27.2,2.03
Israel,israel,Middle East,3.07,19.1,,5.2,7.1,2.8,83.1,3,30.1,1.9,26.1,9402617,1.58,21.2,2.92
Costa Rica,costa-rica,Central America and the Caribbean,3.07,10.8,2.9,5.3,6.7,6.7,80.3,22,35.5,1.9,25.7,5265575,0.74,8.8,1.43
Ecuador,ecuador,South America,3.05,17.7,5.2,7.2,3.7,11.2,74.9,66,28.0,-1.1,19.9,18309984,0.94,11.3,2.21
Bolivia,bolivia,South America,2.98,17.6,3.4,6.6,9.8,22.3,72.5,161,26.6,-1.0,20.2,12311974,1.0,12.7,2.2
El Salvador,el-salvador,Central America and the Caribbean,2.94,17.1,5.0,5.9,4.1,11.7,75.9,43,29.7,-7.7,24.6,6628702,0.34,7.9,2.02
Turkmenistan,turkmenistan,Central Asia,2.88,16.8,3.1,6.0,3.1,35.9,72.4,5,31.2,-1.7,18.6,5744151,0.92,5.5,2.02
Haiti,haiti,Central America and the Caribbean,2.85,21.2,9.5,7.3,1.4,36.8,65.6,350,25.0,-1.6,22.7,11753943,1.23,7.7,2.44
Honduras,honduras,Central America and the Caribbean,2.73,19.9,7.1,5.4,6.4,15.4,73.1,72,25.7,-1.7,21.4,9529188,1.29,,2.33
Fiji,fiji,Australia and Oceania,2.71,15.9,4.6,6.5,5.7,9.7,74.8,38,31.6,-5.5,30.2,951611,0.4,23.1,2.21
"Gambia, The",gambia-the,Africa,2.67,27.3,11.6,5.6,2.8,35.7,68.4,458,20.2,0.0,10.3,2523327,2.16,11.1,3.52
Sri Lanka,sri-lanka,South Asia,2.58,14.5,20.5,7.5,1.9,6.8,76.8,29,34.1,-3.0,5.2,21982608,0.39,22.0,2.13
Venezuela,venezuela,South America,2.51,16.7,,6.5,1.3,13.9,74.5,259,31.0,13.2,25.6,31250306,2.34,,2.18
Uzbekistan,uzbekistan,Central Asia,2.45,20.5,1.8,5.1,4.9,18.2,76.2,30,28.9,-1.1,16.6,36520593,1.43,17.6,2.76
Nauru,nauru,Australia and Oceania,2.44,20.2,,6.5,7.1,7.6,68.6,,27.8,-9.8,61.0,9892,0.39,48.5,2.55
Namibia,namibia,Africa,2.38,24.3,13.2,7.1,9.6,27.9,65.9,215,22.8,0.0,17.2,2803660,1.72,15.1,2.89
Samoa,samoa,Australia and Oceania,2.18,18.8,3.4,5.4,4.8,17.3,75.7,59,27.4,-6.9,47.3,208853,0.65,25.3,2.33
Burma,burma,East and Southeast Asia,2.06,15.7,19.1,7.3,2.1,32.1,70.3,179,30.8,-1.4,5.8,57527139,0.71,44.1,1.97
Malawi,malawi,Africa,2.04,26.6,11.7,4.5,2.9,31.9,73.0,381,20.3,0.0,5.8,21763309,2.22,10.8,3.19
United Arab Emirates,united-arab-emirates,Middle East,2.03,10.7,,1.7,3.9,5.0,79.9,9,35.8,-3.1,31.7,10032213,0.6,,1.61
Sudan,sudan,Africa,1.93,33.1,33.0,6.1,,40.6,67.8,270,19.3,-1.6,6.6,50467278,2.55,,4.47
Singapore,singapore,East and Southeast Asia,1.81,8.8,,4.3,2.8,1.5,86.7,7,39.4,4.2,6.1,6028459,0.87,16.5,1.17
Cote d'Ivoire,cote-divoire,Africa,1.7,27.5,12.8,7.3,3.4,52.5,63.2,480,21.2,1.1,10.3,29981758,2.13,9.4,3.4
Kenya,kenya,Africa,1.68,25.6,10.1,4.9,4.8,26.1,70.4,530,21.2,-0.2,7.1,58246378,2.06,11.1,3.16
Guatemala,guatemala,Central America and the Caribbean,1.63,21.4,14.4,4.9,3.1,25.0,73.5,96,24.8,-1.6,21.2,18255216,1.49,10.9,2.52
Vanuatu,vanuatu,Australia and Oceania,1.6,20.8,11.7,4.0,2.2,13.7,75.7,94,24.6,-1.3,25.2,318007,1.55,17.8,2.53
Ghana,ghana,Africa,1.59,27.6,12.6,5.9,3.9,31.2,70.1,263,21.4,-0.2,10.9,34589092,2.15,3.5,3.56
"Micronesia, Federated States of",micronesia-federated-states-of,Australia and Oceania,1.59,17.8,,4.2,9.7,20.9,75.0,74,28.2,-21.0,45.8,99603,-0.73,,2.19
Tunisia,tunisia,Africa,1.51,13.5,1.6,6.4,7.3,11.3,77.3,37,34.4,-1.3,26.9,12048847,0.58,24.6,1.93
Mozambique,mozambique,Africa,1.46,36.5,14.6,9.6,6.3,58.2,58.3,127,17.3,-1.5,7.2,33350954,2.54,14.3,4.66
Togo,togo,Africa,1.4,30.9,15.2,5.1,4.0,38.4,72.1,399,20.7,-1.7,8.4,8917994,2.41,6.8,4.13
Maldives,maldives,South Asia,1.38,15.1,14.8,4.3,5.8,24.4,77.4,57,31.9,-12.8,8.6,388858,-0.2,25.2,1.7
Azerbaijan,azerbaijan,Middle East,1.38,11.2,4.9,6.4,4.3,10.9,75.9,41,34.3,-0.6,19.9,10650239,0.43,24.0,1.69
Papua New Guinea,papua-new-guinea,East and Southeast Asia,1.26,28.1,,5.4,1.4,32.0,70.1,192,21.7,0.0,21.3,10046233,2.26,39.3,3.79
Benin,benin,Africa,1.25,40.3,16.8,7.6,3.0,52.9,63.0,523,17.2,0.2,9.6,14697052,3.29,6.9,5.34
Solomon Islands,solomon-islands,Australia and Oceania,1.19,22.0,16.2,3.9,12.8,19.1,77.2,122,25.2,-1.5,22.5,726799,1.65,36.5,2.77
Turkey (Turkiye),turkey-turkiye,Middle East,1.18,13.8,1.5,6.1,3.4,18.4,76.7,17,34.0,-1.5,32.1,84119531,0.61,30.7,1.9
Bahrain,bahrain,Middle East,1.18,12.2,,2.8,2.2,9.7,80.4,16,33.4,-1.2,29.8,1566888,0.82,14.9,1.65
Ethiopia,ethiopia,Africa,1.16,29.6,21.1,5.8,4.5,32.6,67.7,267,20.4,-0.1,4.5,118550298,2.37,5.1,3.84
Lebanon,lebanon,Middle East,1.14,12.6,3.4,5.6,1.7,6.7,79.2,21,36.3,-0.9,32.0,5364482,0.61,38.2,1.71
Qatar,qatar,Middle East,0.96,9.2,,1.4,3.2,6.4,80.3,8,34.3,-0.7,35.1,2552088,0.71,11.8,1.9
Central African Republic,central-african-republic,Africa,0.94,31.9,20.5,11.3,2.2,80.5,56.4,835,20.4,-3.1,7.5,5650957,1.76,,3.94
Eritrea,eritrea,Africa,0.93,26.3,,6.5,,39.8,67.5,322,21.3,-8.7,5.0,6343956,1.12,7.5,3.43
Tuvalu,tuvalu,Australia and Oceania,0.93,22.0,3.1,7.8,,27.8,69.0,,27.8,-6.3,51.6,11733,0.78,35.6,2.78
Madagascar,madagascar,Africa,0.89,27.6,22.6,5.8,3.1,37.5,68.8,392,21.3,0.0,5.3,29452714,2.18,27.8,3.47
Tajikistan,tajikistan,Central Asia,0.85,25.8,7.6,4.7,5.9,21.7,71.9,17,22.8,-2.0,14.2,10394063,1.92,,3.56
Brunei,brunei,East and Southeast Asia,0.69,15.8,,3.9,4.4,10.0,78.9,44,32.3,2.1,14.1,491900,1.4,16.2,1.73
Malaysia,malaysia,East and Southeast Asia,0.64,14.2,14.1,5.8,3.9,6.4,76.6,21,31.8,1.5,15.6,34564810,0.99,22.5,1.73
Mali,mali,Africa,0.6,40.0,18.5,8.1,4.4,57.4,63.2,440,16.4,-2.9,8.6,21990607,2.9,8.3,5.35
Algeria,algeria,Africa,0.59,20.2,2.7,4.4,7.0,18.7,77.9,78,29.1,-0.5,27.4,47022473,1.54,21.0,2.94
