name,slug,region,airports,broadband_fixed_subscriptions,internet_users,merchant_marine,railways,roadways,telephones_fixed_lines,telephones_mobile_cellular,waterways
Tonga,tonga,Australia and Oceania,6,5000,73700,29,,680,11000,64000,
Saint Vincent and the Grenadines,saint-vincent-and-the-grenadines,Central America and the Caribbean,5,24733,85000,830,,,11000,104000,
Montenegro,montenegro,Europe,5,184176,516600,18,250.0,9825,191000,1274000,
Kosovo,kosovo,Europe,4,,1756300,,437.0,2248,383763,1777859,
Bhutan,bhutan,South Asia,4,3189,670800,,,12205,20000,742000,
Isle of Man,isle-of-man,Europe,4,,,269,63.0,1107,,,
Northern Mariana Islands,northern-mariana-islands,Australia and Oceania,4,,12299,,,536,20000,20474,
French Southern and Antarctic Lands,french-southern-and-antarctic-lands,Antarctica,4,,,2,,,,,
Mauritius,mauritius,Africa,4,323200,884000,32,,2428,462000,2097000,
Albania,albania,Europe,3,508937,2291000,69,424.0,3581,177000,2782000,41
Guam,guam,Australia and Oceania,3,3000,136850,3,,1045,70000,98000,
Samoa,samoa,Australia and Oceania,3,1692,171600,13,,1150,5000,134000,
Antigua and Barbuda,antigua-and-barbuda,Central America and the Caribbean,3,8000,89280,614,,1170,27000,184000,
Cayman Islands,cayman-islands,Central America and the Caribbean,3,3200,55148,130,,785,36000,100000,
Palau,palau,Australia and Oceania,3,1224,6696,427,,121,8000,24000,
Bahrain,bahrain,Middle East,3,148928,1500000,184,,4122,253000,2141000,
Comoros,comoros,Africa,3,1066,221400,273,,849,7000,839000,
American Samoa,american-samoa,Australia and Oceania,3,,18135,,,241,10000,2250,
Trinidad and Tobago,trinidad-and-tobago,Central America and the Caribbean,3,376771,1185000,102,,,326000,1999000,
Luxembourg,luxembourg,Europe,3,235155,633600,147,271.0,2746,261000,876000,37
British Virgin Islands,british-virgin-islands,Central America and the Caribbean,3,6738,24087,29,,200,23000,38000,
Hong Kong,hong-kong,East and Southeast Asia,3,2885586,6975000,2537,,2193,3673000,21861000,
"Saint Helena, Ascension, and Tristan da Cunha",saint-helena-ascension-and-tristan-da-cunha,Africa,2,1000,2287,,,198,4000,4000,
Barbados,barbados,Central America and the Caribbean,2,128000,240800,272,,1700,121000,323000,
Wallis and Futuna,wallis-and-futuna,Australia and Oceania,2,,5496,1,,,3000,0,
Brunei,brunei,East and Southeast Asia,2,71078,441000,97,,2976,122000,529000,209
Sao Tome and Principe,sao-tome-and-principe,Africa,2,2512,112200,25,,1300,3000,197000,
Dominica,dominica,Central America and the Caribbean,2,16000,58320,77,,1512,7000,62000,
Saint Pierre and Miquelon,saint-pierre-and-miquelon,North America,2,,5099,,,117,4800,,
Grenada,grenada,Central America and the Caribbean,2,32000,93600,6,,1127,26000,101000,
Saint Lucia,saint-lucia,Central America and the Caribbean,2,33000,140400,,,1210,14000,172000,
Saint Kitts and Nevis,saint-kitts-and-nevis,Central America and the Caribbean,2,30000,37920,341,50.0,383,16000,57000,
Guernsey,guernsey,Europe,2,25336,55069,,,260,33930,71485,
United States Pacific Island Wildlife Refuges,united-states-pacific-island-wildlife-refuges,Australia and Oceania,2,,,,,,,,
Virgin Islands,virgin-islands,Central America and the Caribbean,2,,67508,2,,1260,76000,80000,
Macau,macau,East and Southeast Asia,1,208000,607200,5,,428,92000,1213000,
West Bank,west-bank,Middle East,1,373050,3938199,,,4686,458000,4388000,
Saint Barthelemy,saint-barthelemy,Central America and the Caribbean,1,,7077,,,40,,,
Tuvalu,tuvalu,Australia and Oceania,1,450,7920,270,,16,2000,9000,
San Marino,san-marino,Europe,1,11000,25500,,,292,16000,41000,
Norfolk Island,norfolk-island,Australia and Oceania,1,,806,,,80,,,
Gibraltar,gibraltar,Europe,1,21009,31152,129,,29,17000,37000,
Montserrat,montserrat,Central America and the Caribbean,1,2700,2473,,,,3000,5000,
Cocos (Keeling) Islands,cocos-keeling-islands,Australia and Oceania,1,,80,,,22,,,
Malta,malta,Europe,1,213419,461100,1957,,2855,259000,702000,
Aruba,aruba,Central America and the Caribbean,1,19000,106800,1,,1000,35000,141000,
Curacao,curacao,Central America and the Caribbean,1,55000,111956,57,,550,53000,168000,
"Gambia, The",gambia-the,Africa,1,5000,858000,15,,2977,60000,2678000,390
Niue,niue,Australia and Oceania,1,,1512,70,,234,1000,,
Anguilla,anguilla,Central America and the Caribbean,1,5000,13056,2,,175,6000,26000,
Wake Island,wake-island,Australia and Oceania,1,,,,,,,,
Nauru,nauru,Australia and Oceania,1,950,10920,6,,30,,10000,
British Indian Ocean Territory,british-indian-ocean-territory,South Asia,1,,,,,,,,
Faroe Islands,faroe-islands,Europe,1,18443,51728,91,,960,15000,59000,
Christmas Island,christmas-island,Australia and Oceania,1,,1139,,18.0,142,,,
Saint Martin,saint-martin,Central America and the Caribbean,1,,19284,,,,,68840,
Bermuda,bermuda,North America,1,23000,64000,122,,447,25000,68000,
Sint Maarten,sint-maarten,Central America and the Caribbean,1,,39089,,,53,,68840,
Jersey,jersey,Europe,1,39699,96038,,,576,48122,124083,
Gaza Strip,gaza-strip,Middle East,,376911,3602452,,,,458000,4388000,
Andorra,andorra,Europe,,37000,74260,,,320,51000,114000,
Monaco,monaco,Europe,,20877,31820,1,,,45000,39000,
Liechtenstein,liechtenstein,Europe,,18050,37440,17,9.0,420,11000,50000,28
Tokelau,tokelau,Australia and Oceania,,,800,,,10,300,,
Holy See (Vatican City),holy-see-vatican-city,Europe,,,383,,,,,,
Pitcairn Islands,pitcairn-islands,Australia and Oceania,,,37,,,,,,
Svalbard,svalbard,Europe,,,,,,40,,,
